,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세,유아용보조의자,개장기간,대여안내,유도안내 설비,예약안내 홈페이지,객실,자막 비디오 가이드,수화 안내,매표소,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,홍보물,예약안내,객실유형,바비큐장여부,세미나실 여부,좌석수,사우나실 여부,캠프파이어 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,공용 샤워실 여부,청각장애 기타상세,보조견동반
5723,평화식당,"평화식당은 TV 프로그램 생활의 달인, 생방송 투데이에 소개된 식당으로 지역 주민들뿐만 아니라 구례 여행객들에게도 소문난 육회비빔밥 맛집이다. 전용 주차장은 없지만, 식당 인근에 공영 주차장이 있어 주차하기 편리하다. 가정집 분위기의 외관에 깔끔하면서도 정겨운 내부는 시골집을 연상케 한다. 대표 메뉴는 육회비빔밥으로 노란 주전자에 나오는 보리새웃국과 함께 먹으면 그 맛이 일품이다. 이 외에 육회, 한우떡국, 불백전골도 맛볼 수 있다.",,,전라남도 구례군 북교길 12,,"매달 1, 3번째 목요일",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~20:00 (마지막 주문 19:45),육회비빔밥,육회 / 한우떡국 / 불백전골 등,,,,,,,,,,,,,,,,,,,
5724,곡성가든,"생방송 오늘저녁에 방송된 곡성의 스테이크 전문점이다. 산장 분위기의 외관과 앤티크한 소품들이 어우러진 식당으로, 곡성의 핫플레이스로 통할 만큼 유명하다. 티본스테이크, 토마호크 스테이크 등이 대표 메뉴이며, 조리 시간이 30~40분 정도 소요되는 만큼 여유로운 식사를 즐기는 손님들에게 추천할 만한 곳이다. 야외 테이블이 마련되어 있어 가든 분위기를 즐기며 식사할 수도 있다. 음식이 맛있고 뷰가 좋아 특별한 날, 특별한 사람들과 함께 하기 좋은 곳이다. 곡성생태체험관, 무창체험마을 등이 주변에 있어 연계 관광하기 수월하다.
※ 반려동물 동반 가능(단, 6Kg 이하 소형견만 가능, 목줄 착용, 배변봉투 지참)",,https://www.instagram.com/gokseong_garden/,전라남도 곡성군 배감길 16-19,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:30~22:00 (라스트오더 20:30),프라임 티본 스테이크,자이언트 토마호크 스테이크 / 트러플 안심 스테이크 / 자이언트 포크 백립 등,,,,,,,,,,,,,,,,,,,
5725,레이디벅스 장성,"호텔 셰프가 직접 요리하는 곳으로, 신선한 재료를 당일 전부 소진하는 것을 원칙으로 하고 있다. 외관이 노란색 톤으로 되어 있는 감각적인 건물이다. 카페 내부가 넓고 테이블 간격이 넓어, 주변 사람 신경 쓰지 않고 편안하게 대화할 수 있다. 친구, 연인, 가족과 함께 하기 좋고, 아이들과 함께 방문하기에도 좋다. 건물 외부에는 정원과 야외 테이블이 마련되어 있어, 시골 뷰를 통해 힐링의 시간을 즐길 수 있다. 파스타, 리조또 등의 식사 메뉴와 커피 등의 음료까지 다양하게 준비되어, 식사와 후식을 한자리에서 해결할 수 있다. 장성댐, 황룡강 생태공원 등이 주변에 있어 연계 관광하기 수월하다.",,http://instagram.com/ladybugs_cafe,전라남도 장성군 청운길 38 1층,,매주 화요일 / 설·추석 당일,가능,,,출입구에 경사로와 손잡이가 설치되어 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,점자블록 있음,,,,,,유아용 보조의자 있음,,,,,,,,,,,,,,10:00~21:00 (라스트오더 20:00),포모도로 파스타,스테이크 / 로제빠네 파스타 / 레벅파니니 / 감자튀김 / 프렌치토스트 등,,,,,,,,,,,,,,,,,,,
5726,워킹타우너,"워킹타우너는 ‘시골길을 걷는 도시 사람들’이라는 의미로 빠르게 흘러가는 현대 사회에서 한적한 시골 풍경을 보며 힐링할 수 있는 공간이다. 반려동물 동반할 수 있으며, 뷰가 좋아 인근 지역 주민들이 즐겨 찾는 곳이다. 주차장이 넓어 먼 곳에서도 카페를 방문하기 위해 찾는 손님들도 적지 않다. 3층 루프탑은 노키즈 존으로 지정되어, 조용한 대화를 원하는 이들에게 적합한 공간이다. 넓은 홀에 테이블을 많이 갖추고 있지만, 항상 많은 손님으로 북적인다. 한마음자연학교, 토루생태체험, 비나리마을 등의 체험장이 주변에 있어 연계 관광하기 수월하다.

※ 반려동물 동반 가능 (목줄 착용, 배변봉투 지참)",,,전라남도 장성군 마흥길 73 1층,,연중무휴,불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매일 11:00 - 20:00 (라스트 오더 19:40),망고스무디,아메리카노 / 시티슈페너 / 얼그레이자몽티 / 미숫가루 등,,,,,,,,,,,,,,,,,,,
5727,가온전복,"진도군 초평항 근처에 있는 가온전복은 청정해역 진도에서 직접 키운 참전복으로 싱싱하고 건강한 요리를 만드는 곳이다. 전복회, 전복찜, 전복 버터구이, 전복 삼겹살 구이, 전복 해신탕 등의 전복요리와 낙지탕탕이, 낙지볶음, 연포탕 등 싱싱한 낙지요리 등을 맛볼 수 있다. 단독건물 앞 주차 공간에 편리하게 주차가 가능하고, 실내가 깔끔하고 넓어 식사하기에 불편함이 없다. 식당 바로 앞에 바다가 있어서 식후에 즐기는 바닷가 산책도 좋다. 주변 대명 쏠비치 리조트를 방문하는 방문객들이 많이 찾는 전복 전문점으로, 가게만의 노하우로 만든 전복장도 판매한다.
※ 반려동물 동반 불가",,http://gaonn.cityfood.co.kr/,전라남도 진도군 초평길 70-1 1층,,연중무휴,있음 / 주차요금 없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00~21:00(브레이크타임 15:00~17:00),"전복회, 전복찜","전복회, 전복찜, 전복삼겹구이, 전복해신탕, 낙지탕탕이",,,,,,,,,,,,,,,,,,,
5728,카페누비,"붉은색 계열의 벽돌집이 동화 속 집을 연상케 하는 장성의 카페다. 앞마당에는 잔디밭이 펼쳐져 있어 아이들과 함께 하는 가족 단위 손님들이 즐겨 찾는다. 광주와의 거리도 멀지 않아, 광주 근교 아이와 함께 할 만한 카페로도 엄마들 사이에서는 유명하다. 주차장이 넓어 차량을 갖고 방문하기 편리하다. 실내 공간도 넓고 루프탑도 설치되어 있어, 편안한 휴식을 취하기에도 부족함이 없다. 식혜, 애플티, 수제딸기우유 등 다양한 메뉴가 있어, 남녀노소 누구나 부담 없이 즐길 수 있다. 장성댐, 황룡강생태공원 등이 주변에 있어 연계 관광하기 수월하다.",,https://www.instagram.com/cafe__nubi,전라남도 장성군 내기길 23,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매일 10:00 - 20:00 (라스트 오더 19:30),수제단호박식혜,장성 스트로베리애플에이드 / 땅콩크림라떼 / 솔티드카라멜라떼 등,,,,,,,,,,,,,,,,,,,
5729,금송식육식당,"<생방송 투데이>와 <생방송 오늘저녁>에 소개된 식당으로 한우비빔밥과 한우생고기 맛집으로 유명한 곳이다. 신선한 재료를 사용하며 맛도 좋아, 지역 주민들이 믿고 먹을 수 있는 곳으로 지인들에게 소개하는 곳이다. 기와집 지붕의 건물과 지붕 위에 얹힌 간판이 인상적이다. 식당 주변 조경이 잘 되어 있으며 주차장도 넓어 방문하기 편리하다. 비빔밥과 생고기가 대표 메뉴이며, 한우 곰탕, 갈비탕 등의 메뉴도 갖추고 있어 입맛 따라 골라 먹을 수 있다. 함평엑스포공원, 돌머리해수욕장 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 함평군 중앙길 54-11,,"매주 월요일
※ 단, 월요일이 장날이면 영업",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~20:30 (브레이크타임 15:00~17:00),생고기비빔밥,육회 / 생비빔밥 / 한우갈비탕 / 한우불백 등,,,,,,,,,,,,,,,,,,,
5730,녹유원,"녹유원은 고즈넉한 분위기의 힐링 카페로 유명한 함평의 전통찻집이다. 시골길을 따라가면 만날 수 있는 녹유원은 한옥으로 된 건물의 본관과 별관이 예스러운 정취를 고스란히 전해주어, 힐링을 원하는 손님들이 즐겨 찾는다. 주차장이 넓어 주차가 편리하며, 주변에 나무와 잔디가 둘러싸여 있어 가족과 함께 방문하는 손님들이 많다. 쌍화 한방차가 대표 메뉴인 전통찻집이지만, 아메리카노, 레몬에이드 등의 다양한 음료도 판매하고 있다.",,,전라남도 함평군 대동길 101,,매주 월요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~17:30,쌍화 한방차,쌍화 한방차 / 아메리카노 / 대추차 / 황차 / 국화차 / 뽕잎차 외,,,,,,,,,,,,,,,,,,,
5731,월야88민물장어,"무항생제 인증과 HACCP 인증시설에서 직접 양식한 장어만을 사용하는 민물장어 전문점이다. 나비의 고장 함평의 달맞이공원 바로 옆에 있어 가족, 연인, 친구와 함께 하기 좋은 곳이다. 주차장이 넓고 건물이 깔끔하며, 홀과 룸이 마련되어 있어 모임 장소로도 활용되고 있다. 장어구이는 입구 옆 손질된 장어를 골라 구입한 후 테이블에 앉으면, 각종 반찬과 함께 세팅이 완료된다. 보양식 맛집으로 유명한만큼 어르신들과 함께 찾는 가족 단위 손님들이 눈에 띄게 많다.",,,전라남도 함평군 월야월봉길 61-6,,"매주 월요일 (초복, 중복, 말복 정상영업)",가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"주중 11:30 ~ 22:00 (브레이크타임 15:00~17:00 / 라스트오더 21:00)
주말 11:30 ~ 22:00 (브레이크타임 없음 / 라스트오더 21:00)",장어구이,장어탕(공기밥포함) / 담양떡갈비 등,,,,,,,,,,,,,,,,,,,
5732,인루트,"무안 IC에서 3분 거리에 있어 접근성이 좋은 브런치 카페로 자연과 어우러진 편안한 분위기를 연출하는 곳이다. 넓은 주차장과 테라스가 마련되어 있으며, 다양한 브런치 메뉴와 수제 디저트가 있어 가족 단위 손님들이 즐겨 찾는다. 인루트는 환경 보호를 위해 모든 음료를 다회용 컵에 제공하고 있다. 하얀색 벽돌의 건물이 주변 경관과 조화를 이루어 사진 명소로도 유명하여, 연인들의 데이트 코스로도 널리 활용되고 있다. 에스프레소 바나나, 자몽에이드를 비롯한 각종 커피, 음료가 다양하게 마련되어 있다. 자산서원, 봉산대첩화승비 등의 유적지가 주변에 있어 연계 관광하기 수월하다.
※ 반려동물 동반 가능(목줄 착용, 배변봉투 지참)",,,전라남도 함평군 영산로 3280,,매주 화요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~20:00(19:00 라스트오더),"에스프레소 바나나, 자몽에이드, 애플민트 레몬 스무디, 망고 요거트 스무디","드립커피, 카페라떼, 콜드브루, 핫초코, 자몽차, 고구마 피자, 크림 베이컨 파스타 등",,,,,,,,,,,,,,,,,,,
5733,물노리,"외국 휴양지의 멋진 카페가 연상되는 건물의 일식 전문점이다. 바로 옆의 카페 앞에는 작은 시냇가가 떠오르는 연못도 있다. 건물 주변의 조경이 잘 되어 있으며, 주차 공간이 넓어 가족 단위 손님들이 즐겨 찾는 곳이다. 실내가 깨끗하면서도 널찍해서 편안하게 식사를 즐길 수 있다. 초밥과 스테이크 종류의 메뉴가 다양하게 마련되어 있어, 골라 먹는 재미가 있다. 아이들을 위한 수제돈까스 등의 메뉴도 준비되어 있다. 테마카프소풍, 키즈라라, 화순고인돌유적 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 화순군 원화길 68-23,,매주 월요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~21:00 (라스트 오더 20:30),해물물회,꽃갈비 스테이크 솥밥 / 해물모둠장 정식 / 특물회 / 한우물회 등,,,,,,,,,,,,,,,,,,,
5734,솔로투,"솔로투는 전남 화순군 도곡면에 자리한 카페이다. 이국적 분위기의 건물 외관이 동화 속 마을의 예쁜 집을 연상케 한다. 실내 공간이 넓고 유니크한 분위기를 자아내어, 젊은 연인들의 데이트 코스로도 널리 활용되고 있다. 싱글 스페셜 원두만을 사용하며, 전통 방식의 에스프레소와 핸드드립만을 고집하는 카페다. 에스프레소 바 & 커피 오마카세를 즐기는 방법이 테이블 위에 놓여 있을 만큼, 커피 맛에 진심이다. 에스프레소 코스가 이 집의 시그니처 메뉴이다. 테마파크소풍, 키즈라라 등이 주변에 있어 연계 관광하기 수월하다.",,https://www.instagram.com/__cafe_glayer,전라남도 화순군 덕리길 10-5,,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"주중 07:00~23:00
주말 05:30~23:00",에스프레소 코스,핸드드립 / 샤커라또 / 꼬레또 / 어린이주스,,,,,,,,,,,,,,,,,,,
5735,축령산사랑가득국밥,"우시장국밥집과 더불어 장성의 국밥집 투 톱으로 불리는 국밥 맛집이다. 주차 공간은 넉넉하지만, 많은 손님이 방문하는 만큼 점심시간에는 자리가 없을 때도 많다. 이 집의 대표 메뉴는 모듬국밥으로 머릿고기, 내장, 순대, 선지가 들어가 있다. 새끼보국밥, 머리국밥, 내장국밥, 순대국밥, 선지국밥, 콩나물국밥 등 국밥이 종류별로 있어, 입맛에 따라 골라 먹을 수 있다. 매장 내부는 홀과 룸 둘 다 갖추고 있다. 고기, 선지 등 국밥에 들어가는 내용물이 푸짐해서, 한 끼 든든하게 채울 수 있어, 지역 주민들이 즐겨 찾는다. 장성댐, 황룡강생태공원 등이 주변에 있어 연계 관광하기 수월하다.",,,전라남도 장성군 삼월길 18,,매주 월요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00~21:00,모듬국밥,머리국밥/내장국밥/순대국밥/내장전골,,,,,,,,,,,,,,,,,,,
