,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세,유아용보조의자,개장기간,대여안내,유도안내 설비,예약안내 홈페이지,객실,자막 비디오 가이드,수화 안내,매표소,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,홍보물,예약안내,객실유형,바비큐장여부,세미나실 여부,좌석수,사우나실 여부,캠프파이어 여부,스포츠 시설 여부,자전거 대여 여부,공용 PC실 여부,휘트니스 센터 여부,노래방 여부,청각장애용 객실,뷰티시설여부,공용 샤워실 여부,청각장애 기타상세,보조견동반
5519,나주쌍치민물매운탕,"나주쌍치민물매운탕은 전남 나주시 빛가람동에 위치한 한식전문점으로 민물매운탕의 깔끔하고 깊은 국물과 시원함을 느낄 수 있는 곳이다. 메뉴는 삼합탕, 메기탕, 빠가탕 등 다양한 메뉴가 있다. 내부는 넓은 편은 아니지만 좌석이 여유로워 편하게 식사할 수 있다. 또한 룸 형식으로 된 공간에서 단체 모임을 할 수 있다. 시내에 위치하여 현지인 맛집으로 알려진 곳이며 관광객들도 가볍게 들르기 좋은 곳이다.",,,전라남도 나주시 황동1길 69,,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~21:00,삼합탕,"참게탕,메기탕,빠가탕",,,,,,,,,,,,,,,,,,,
5520,광명식당,"광명식당은 전라남도 여수시 학동에 위치한 음식점이다. 메뉴는 주꾸미 삼합, 주꾸미 볶음, 장어구이, 삼겹살 등 다양한 한식 메뉴를 취급한다. 대표 메뉴는 주꾸미 삼합으로 각종 반찬들과 푸짐하게 제공한다. 주꾸미는 비린내가 나지 않고 싱싱하여 식감이 탱탱하고 양념과 어우러진 맛이 좋다. 주꾸미를 건져 먹은 후에 볶음밥까지 비벼먹으면 별미이다. 여수 시내에 위치하여 현지인 맛집으로 알려져 있는 곳이다.",,,"전라남도 여수시 학동2길 (7-4, 제일시장)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,방문 전 전화문의 요망,쭈꾸미삼합,쭈꾸미삼합 / 삼겹살 / 장어구이 / 서대회 등,,,,,,,,,,,,,,,,,,,
5521,사계절횟집,"사계절횟집은 민물고기를 이용한 요리를 30년 가까이 주 메뉴로 운영되어 왔다. 구례에 있는 음식점으로 알려졌으나 주소지는 곡성에 있다. 영화 '곡성'의 나홍진 감독과 촬영팀도 방문했다는 이곳은 참게탕을 비롯해 민물매운탕을 잘하는 집이고, 계절에 따라 은어회, 송어회, 향어회, 쏘가리회 같은 민물 회를 즐길 수 있다. 부근에 압록상상스쿨과 곡성기차마을이 있어 주말모임이나 나들이 하기에 좋다. 농림축산식품부가 선정한 안심식당이다.",,,전라남도 곡성군 오곡면 대황강로 1589,,매주 월요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~18:00 (17:30 라스트오더),잡탕,참게탕 / 은어회 / 송어회 등,,,,,,,,,,,,,,,,,,,
5522,지리산갈비촌,지리산갈비촌은 명창 송만갑 선생의 생가 앞에 마련된 동편제 전수관 인근에 자리 잡고 있다. 맞은편으로 지리산 노고단을 볼 수 있는 음식점이다. 대표 메뉴는 돼지갈비다. 과일과 한약재 등 20여 가지 재료가 들어간 양념 맛이 훌륭하다. 도가니탕도 별미다. 도가니를 푹 고아서 내놓는다. 잡냄새가 전혀 없이 고소하고 부드럽다.,,,전라남도 구례군 구례읍 의료원길 37,,매주 토요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~21:30 (브레이크타임 14:00~17:00),돼지갈비,삼겹살 / 도가니수육 / 한우소고기국밥 외,,,,,,,,,,,,,,,,,,,
5523,백제회관,"전라남도 구례에 위치한 백제 회관은 산채 음식 전문점이다. 제철 산채들을 사용하여 산채백반, 산채비빔밥 등을 만들어 낸다. 이 집의 인기 메뉴 중 하나는 직접 만든 청국장인데 진하고 구수한 맛이 일품이다. 이 외에도 재첩국과 돌솥비빔밥 등 다양한 한식 요리를 맛볼 수 있으며, 맛깔나는 밑반찬들은 입맛을 돋우기에 부족함이 없다.",,,전라남도 구례군 산동면 지리산온천로 260-7,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00~21:00 (전화문의),산채한정식,산채백반 / 산채비빔밥 / 재첩국 외,,,,,,,,,,,,,,,,,,,
5524,우남식당,"50년 역사의 노포로 방송에도 여러 차례 소개되었을 만큼 탕수육, 짬뽕 맛으로 유명한 집이다. 고령의 할머님이 혼자 만드셔서 시간이 오래 걸려도 양해 부탁한다는 내부의 안내 멘트에서 오히려 노포에서만 가질 수 있는 두근거리는 기다림의 즐거움이 생긴다. 바싹하게 튀겨진 탕수육과 옛 맛 가득한 새콤달콤한 소스의 조화는 잃어버린 향수를 자극하고, 신선한 해산물이 가득 들어간 짬뽕은 국물에서 느껴지는 칼칼하고 매콤한 맛이 일품이다. 탕수육과 짬뽕을 맛볼 수 있다는 것만으로도 기다림이 지루하지 않은 노포와의 만남, 한 번은 꼭 들러봐야 할 나주의 맛집이다.",,,전라남도 나주시 남평읍 남평2로 50-12,,매주 월요일,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30~16:00,탕수육,짜장면 / 콩물국수 / 짬뽕밥 / 짬뽕,,,,,,,,,,,,,,,,,,,
5525,신창손순대국밥,"목포와 가까운 곳에 있지만, 행정구역 상 해남군에 위치한 신창손순대국밥집은 옛 금호도의 바다전망이 좋은 곳에 자리한다. 깔끔한 현대식 벽돌집으로 창문 너머로 바닷물이 넘실거린다. 바다 전망이 좋기로 유명한 동시에 맛도 좋아서 여행객들 사이에 ‘전망 좋은 순댓국집’으로 소문이 자자하다. 좋은 재료로 직접 만든 순대와 한정된 수량의 내장탕이 특히 인기다. 점심시간에는 인근 직장인들이 줄 서서 먹을 정도로 붐비기 때문에 가급적 점심시간을 피해서 갈 것을 추천한다. 종편 프로그램 백반기행에 소개된 바 있다.",,,전라남도 해남군 산이면 관광레저로 1673,,매주 월요일,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30~17:00 (라스트오더 16:30),순대국밥,소내장탕 / 순대만국밥 / 돼지머리국밥 / 어린이정식 / 모둠순대 등,,,,,,,,,,,,,,,,,,,
5526,해밀보리밥,"친절한 서비스와 푸짐한 한상을 제공하는 건강한 보리밥 맛집이다. 입식테이블과 좌식테이블이 나눠져 있으며, 가게 내부가 넓어 단체 방문도 가능하다. 보리밥을 주문하면 여러가지 나물과 함께 수육, 생선구이, 계란찜 등의 푸짐한 반찬이 나오며 후식으로 수정과도 준비되어 있어 셀프로 즐길 수 있다.",,,전라남도 나주시 경현동 275-1,,매주 토요일,,,,,"여기 맛집 인정입니다~! 반찬으로 나오는 음식 하나하나 엄청 신선하고 정갈해요. 나주 근처에 한정식집 중에 가격은 조금 높은 편인데, 그 가격 이상의 맛과 정갈함, 신선함을 보장하는 음식점입니다. 위생상태도 좋고 쌈채소의 신선함이 진짜 좋아요 ㅎㅎ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~20:00 (브레이크타임 15:00~17:00),보리밥,쌀밥/부침개/보쌈,,,,,,,,,,,,,,,,,,,
5527,길언니,"이곳은 1인 정식 메뉴로 구성되어, 혼밥을 즐기는 이들에게도 안성맞춤인 편안하고 품격 있는 외식을 제공한다. 세련된 인테리어와 감각적인 분위기는 식사 시간을 더욱 특별하게 만들어주며, 트렌디한 힙한 무드를 만끽할 수 있어 젊은 세대부터 다양한 연령층에 이르기까지 폭넓은 사랑을 받고 있다.
대표 메뉴인 새우장 정식과 양념게장 정식은 신선한 해산물의 깊은 맛을 담아내며, 각각의 개성이 돋보이는 풍미로 고객들의 입맛을 사로잡는다. 새우장 정식은 쫀득한 새우의 식감과 짭조름하면서도 깔끔한 간장의 조화가 돋보이며, 함께 제공되는 따끈한 밥과 찬들과 완벽한 밸런스를 이룬다. 양념게장 정식은 매콤달콤한 양념이 게살과 어우러져, 입맛을 돋우는 별미로 손색이 없다.
각 정식은 신선한 재료로 매일 정성스럽게 준비되며, 깔끔한 반찬들이 함께 제공되어 한 끼 식사로 영양도 맛도 충족시킨다. 밥, 국, 반찬의 정갈한 구성 덕분에 마치 집밥처럼 편안한 느낌을 주면서도 외식의 즐거움을 더해준다.
힙한 분위기 속에서 트렌디한 한식을 경험할 수 있는 이곳은 혼자서 여유롭게 식사하거나, 간단한 만남과 모임을 가지기에 제격이다. 혼밥 문화가 확산되는 요즘, 1인 정식으로 구성된 이곳은 새로운 외식 트렌드의 중심에 있다.
맛있고 편안한 정식 메뉴를 경험하고 싶다면 이곳에서 특별한 시간을 보내보시길.",,,전라남도 여수시 이순신광장로 189,,매주 목요일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00 ~ 17:00 (라스트 오더 16:30),새우장정식,새우장정식 / 양념게장정식 / 보쌈정식 외,,,,,,,,,,,,,,,,,,,
5530,로스티아,"갯벌과 바다풍경이 아름다운 여수 돌산 앞 바다를 바라보며 카페와 다이닝을 즐기는 브런치 맛집이다. 잔디정원을 갖춰 애견동반이 가능하며 파란 하늘과 바다 그리고 바닷가 수국이 아름다운 카페이기도 하다. 영화 ‘잠적’, tvN 예능 ‘주말사용설명서’의 촬영 장소이다.
카페 내부는 1층, 2층으로 되어 있으며 야외정원이 있다. 카페 2층에는 바다 방향으로 빈백쇼파와 테이블을 배치해서 바다를 조망하면서 음료와 음식을 즐길 수 있다. 바다를 배경으로 야자나무 사이에 포토존과 그네를 설치하여 여수 바다의 풍경을 마음껏 즐길 수 있다. 간조와 만조때에 따라 카페 앞 바다 풍경이 달라지므로 원하는 경치를 보기위해 물때 시간을 확인하고 방문하는 것도 좋다.",,,전라남도 여수시 돌산로 3116,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00~19:40 (마지막 주문 19:00),돌문어 샥슈카,차돌마라크림 리가토니 / 로스티아 돌문어버거 / 딱새우크림파스타 등,,,,,,,,,,,,,,,,,,,
5531,카페하녹,"딸들이 홍보하고 아빠가 잔디깎고 엄마가 운영하는 카페라는 문구를 앞세운 규모 있는 한옥카페이다. 본채와 별채, 정자에서 식음이 가능하고 넓은 야외공간이 있어 반려견이나 아이들과 함께 오는 가족단위 손님이 많이 방문하고 있다. 이곳의 대표 메뉴는 쉐낄라토와 하녹라떼인데 하녹라떼는 콩가루로 만든 인절미맛 라떼이다. 디저트의 종류는 달달한 팥과 프랑스산 고메버터, 다양한 토핑으로 새로와진 모나카, 가래떡 와플, 인절미 와플, 인절미 크로와플 등 한국적인 음식 재료와 서양의 음식재료를 섞어서 새로운 맛을 제공하고 있으며 약과 등 한국 전통 디저트 종류도 판매하고 있다. 본채에서는 주문과 식음이 가능하고 아이들 출입이 가능하나, 별채의 경우는 노키즈존으로 아이들과 반려동물의 출입이 불가하다.",,https://www.instagram.com/cafe.ha_nok,전라남도 담양군 창평현로 714-40,,매주 화요일,"가능
요금 (무료)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~19:00 (마지막 주문 18:30),쉐낄라또,인절미 와플 / 인절미 크로와플 / 아메리카노 / 오미자 에이드 / 하녹라떼 등,,,,,,,,,,,,,,,,,,,
5533,향교길20카페,"나주 읍성 서성문 근처에 위치한 2층 규모의 한옥카페로 단아한 한옥 마당의 분위기와 차를 즐기며 힐링하기 좋은 곳이다. 쌍화차, 대추차등 전통차와 호박죽, 단팥죽과 크림치즈 약과쿠키, 찹쌀약과, 가래떡구이등 전통 디저트류가 인기이다. 카페에서 판매하는 음료에 사용되는 과일청은 주인이 직접 담는다고 한다.
마당으로 통하는 솟을대문을 들어서면 멋진 소나무를 보며 야외에서 차를 마시는 테이블이 놓여있고, 실내 1층에는 신발을 벗고 올라서는 마루 위 좌식테이블이 놓여 있다. 편안하게 다리를 펴고 앉아 들어열개문 통창으로 카페 마당을 보며 즐기는 차 한잔은 여유롭기까지 하다. 카페 2층으로 올라가면 월정봉을 배경으로 서성문이 보인다. 향교길 20 카페는 소모임과 파티, 원데이 클래스 진행도 가능하며 한옥 숙박 시설도 운영한다고 한다.
나주 곰탕거리와 도보 7분 거리에 근접해 있어 나주 곰탕으로 식사를 하고 나주 읍성과 서성문을 천천히 둘러보고 차 한잔을 즐기러 방문하기 좋다.",,,전라남도 나주시 향교길 22-1 (서내동),,네이버 / 인스타그램 공지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00~18:00 (17:50 라스트 오더),쌍화차 / 대추차 / 수제연유라떼,커피류 / 라떼류 / 전통차 / 무설탕차 / 미니붕어빵 / 인절미와플 등,,,,,,,,,,,,,,,,,,,
