place,info,문의 및 안내,주소,주차,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,접근로,출입통로,review,영업시간,휴일,대표메뉴,취급메뉴,홈페이지,이용시간,지정현황,입장료,체험가능 연령,화장실,체험 프로그램,이용 시기,주차 요금,이용요금,주요시설,장애인 주차 안내,지체장애 기타 상세,식음료장,부대시설,엘리베이터,객실,유아용보조의자,휠체어,수용인원,규모,수유실,판매 품목,시설이용료,체험프로그램,바비큐장여부,노래방 여부,세미나실 여부,유모차,점자 홍보물,"영유아가족
기타상세",이용가능시설,좌석수,주차요금,대중 교통,오디오 가이드,시각장애 기타상세
히로텔,"대구 굿스테이 히로텔은 대구 중심부에 위치해 있으며, 지하철 1호선 중앙로역과 동성로 쇼핑가에서 도보로 약 15분 거리에 있다. 현대적인 서양식 객실과 전통적인 한국식 객실 모두는 무료 Wi-Fi 인터넷을 갖추고 있다. 24시간 운영되는 프런트 데스크와 무료 주차장의 이용이 가능하며 서울행 KTX 열차에 탑승할 수 있는 동대구역에서 차로 10분 거리다. 대구 국제공항은 차로 16분 거리에 있으며 주변에는 다양한 현지 식당도 자리하고 있다. 주변 관광지로는 서문시장, 달성공원, 83타워 등이 있다.",,대구광역시 중구 국채보상로 657-12 (동인동2가),가능,15:00,12:00,불가능,26실,온돌 / 스탠다드 / 슈페리어 트윈,출입구까지 경사로가 설치되어 있음_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대덕승마장,"대덕승마장은 대구 달서구 송현동에 위치한 승마장이다. 승마를 국민 스포츠로 자리매김시키기 위해 비교적 저렴한 요금으로 초급, 중급, 고급 강습을 운영한다. 강습은 기승하는 말의 역사와 행동을 이해하고 말과 사람 간의 교감을 중심으로 진행된다. 가족적인 분위기 속에서 누구나 쉽고 편안하게 승마를 체험할 수 있는 환경을 조성하고 있다. 누구나 승마의 즐거움을 쉽게 접할 수 있도록 노력하고 있다.",,대구광역시 달서구 앞산순환로 206 (송현동),가능,,,,,,,,,,매주 월요일,,,http://dghorse.dgsisul.or.kr/,09:00~18:00 (휴게 시간 12:00~13:00),,,,,,,무료,"- 체험승마 (주말) 12,000원
- 입문강습 250,000원
※ 이용요금은 변동될 수 있으므로 홈페이디 참고",마사 / 실내마장 / 강의실 등,,,,,,,,,,,,,,,,,,,,,,,,,,
호산공원,"호산공원은 대구 달서구에 오랜 시간 자리한 공원으로 메타세쿼이아 숲길이 있는 곳으로 알려져 있다. 약 1㎞의 산책로에 250여 그루의 메타세쿼이아가 자리 잡고 있다. 지난 2011년에는 ‘대구의 아름다운 거리’에 선정된 바 있다. 대구에서 유일한 메타세쿼이아 길로 가족, 친구, 연인들의 산책로뿐만 아니라 사진 동호회들의 인기 있는 사진 촬영 장소로도 각광받고 있다. 또한 호산공원에는 A 코스 1,200m, B 코스 520m, C 코스 400m로 이루어진 걷기 코스도 마련되어 있어 취향에 따라 맞는 코스를 선택하여 산책을 즐길 수 있다.",,대구광역시 달서구 달서대로109길 70 (호산동),불가능,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,연중무휴,,,,상시 개방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안지랑 곱창골목,안지랑 곱창골목은 안지랑오거리에서 앞산 안지랑골로 통하는 길 중간에 형성된 곳이다. 양념 곱창집들이 즐비한 곱창 골목으로 1979년경 충북식당을 시작으로 1998년 IMF 이후 생계유지 업소가 늘어나기 시작해 오늘에 이르렀다. 서민들이 부담 없이 즐길 수 있는 휴식처이자 최근엔 젊은 층이 주도하는 젊음의 거리로 발전하였다. 2012년에는 문화체육관광부 주관 전국 5대 음식테마거리로 선정된 바 있다.,,대구광역시 남구 안지랑로16길 67,"가능
요금 (무료)",,,,,,,,"일본인 친구들이 오면 항상 안지랑 곱창골목을 소개해주는데 매번 반응이 좋습니다. 이번에는 운이좋게도 관광공사가 함께하는 이벤트시기와 맞아서 친구가 맛있는 곱창세트도 먹고 가게에서 받은 쿠폰을 잘 활용해서 관광안내소에서 기념품도 받았습니다. 외국인친구가 한국과 대구의 좋은 기억을 가지고 돌아가서 더 뜻깊었습니다. 대구여행하면 빼놓을 수 없는 곳이죠! 1월의 마지막 주말에 다녀왔는데~ 오랜만에 방문해도 여전히 맛있었고, 행복한 식사였습니다! 곱창집이 즐비한 골목에서 어떤 가게를 선택할지 행복한 고민도 재밌었구요! 곱창 양이 어마 무시합니다~~^^ 안지랑 곱창이 먹고싶어서 타지역인 대구까지 방문한다고 해도 시간이 아깝지 않았어요!^^ 포장도 가능해서 좋았어요!",,※ 점포별 상이함,,,,※ 점포별 상이함,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구제일교회,"대구제일교회는 1893년에 설립된 교회로 경상북도, 대구시 최초의 교회이며, 약령시 약전골목 한복판 약령시 한방박물관, 대구교남 YMCA회관과 같이 있다. 대구 최초의 천주교 성당인 계산주교좌성당과는 서성로를 사이에 두고 서로 마주 보고 있다. 예전에는 성안에 있다 해서 성내교회 혹은 남문안에 위치하여 남문안예배당, 남문내교회로도 불리었다.
건물은 전형적인 고딕 양식으로 서유럽의 이국적인 느낌을 준다. 건물의 층수는 2층이며, 종탑은 5층이고 높이는 33m이다. 위치의 특성상 약령시 한방문화페스티벌이나 대구시 주요 축제 때 주 관광지가 되며 대구 시내 투어나 대구 근대 골목길 코스에도 포함되어 많은 사람들이 관광을 목적으로 방문하는 곳이다. 최초의 예배당은 기존의 한옥집을 1896년에 매입해 사용하여 남성정 교회로 이름하다가, 1908년에 두 번째 예배당을 지었다. 두 번째 예배당은 미국인 선교사들과 한국인 전통 목수들이 함께 지은, 단층의 건물로 교회의 정면 한가운데 출입구를 겸한 종탑을 세우고 그 양쪽에 세로로 긴 창문을 규칙적으로 배치하여 좌우가 대칭을 이루었다. 이 건물의 양철지붕, 창문, 종탑 등은 당시 대구 부민들에게는 매우 이색적이고 경이로운 것으로 오랫동안 구경거리가 되었다고 한다. 그러나 1931년 철거했고 새로 1933년 세 번째 예배당으로 사용하기 위하여 2층으로 건물을 준공하였고 제일교회로 이름을 바꾸었다.
1936년에 고딕 양식의 종탑을 추가적으로 세워 현재의 모습이 되었다. 종탑부는 1층에서 5층까지 창문이 제각기 다르게 설계됐고 윗부분에는 팔각형의 뾰족탑을 세웠다. 이 같은 특성과 역사성에 기인하여 1992년 본당과 종탑이 대구유형문화재 제30호로 지정되었다. 이 건물의 전체적인 양상은 평면이 남북으로 긴 직사각형이고, 앞면 중앙에 현관을 두고 오른쪽에는 종탑을 세운 간결한 고딕 건물이다. 대구 제일교회는 대구의 수많은 교회 건물 중 가장 오랜 역사를 가졌고, 기독교가 근대화에 기여한 상징물로서 근대 건축사 연구에 귀중한 자료가 되고 있다. 1994년 동산동으로 본당을 건축하여 갔으며 이곳은 100여년간 대구제일교회로 사용된 곳이다. 이후 약령시한의학박물관 옆에서 기독교 역사관으로 운영되고 있다. 기독교역사관에는 개화기 시절 사용했던 성경, 찬송가, 헌금함 등 다양한 물품과 당시의 사진 등이 전시되어 있다. 또한, 대구제일교회의 연혁, 역사, 선교사들의 활동 이야기가 기록, 전시되어 있다. 1919년 3·1 운동에 참여한 교회로서 독립선언문의 탁본을 만들어 볼 수 있는 체험 공간도 마련되어 있다.",,대구광역시 중구 국채보상로102길 50 (동산동),가능,,,,,,경사로 있음,,근대골목투어할때 지나게 되는 코스중 하나에 제일교회가 있어요. 여기에서 근대골목투어 스탬프 하나 찍을수 있구요. 대구에서 가장 오래된 기독교 건물이라 대구유형문화재로 지정되어 있다고 하더라구요. 그냥 보기에도 약간 영화에서 보던 서양중세건물 느낌이라 오래된 건축물 같아 보였어요. 대구 최초의 서양식 건물인 계산성당 바로 근처에 있어서 찾기 어렵지 않았어요. 근대골목투어를 통해 방문했었는데 설명과 함께 야간의 교회 모습을 볼 수 있어서 좋았습니다 가보면 너무 예쁜 건축물의 모습에 반했어요. 현재와 과거가 공존하는 교회의 모습에 인증샷은 필수예요. 동성로도 가까워서 걸어가기 좋은 곳이지만 주차는 쫌 불편해요 근대 최초 교회 소중한 국내여행,,매주 일~월요일,,,http://www.firstch.org/Page/Index/879,10:00~17:00,대구광역시 유형문화유산 (1992.01.07. 지정),무료,,장애인용화장실 있음,독립선언문 탁본 체험,,,,,장애인 전용 주차구역 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,
양곱화,"양곱화는 대구광역시 수성구에 위치한 한우대창구이 전문점이다. 한우대창구이, 한우곱창구이, 특양구이로 유명한 맛집이다. 고기는 신선하고 부드러우며, 특히 대창은 기름이 풍부해 풍미가 뛰어나다. 쾌적하게 공간분리가 되어있어 프라이빗한 식사가 가능하고 직원들이 맛있게 구워주기 때문에 편리한 이용이 가능하다.",,대구광역시 수성구 들안로 80 (두산동),가능,,,,,,,,,"- 주중 17:00~24:00
- 주말 15:00~24:00
- 마지막 주문 23:30",연중무휴,한우대창구이,한우곱창구이 / 특양구이 / 양밥 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후꾸스시,"후꾸스시는 대구시 수성구 지산동에 자리 잡고 있다. 고급스러운 일식 맛집으로, 다양한 스시와 사시미 메뉴를 자랑한다. 참돔 마스카와의 껍질이 살짝 꼬들한 식감과 방어의 풍부한 기름기가 인상적이다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기에 좋다.",,대구광역시 수성구 동대구로20길 66 (지산동),불가능,,,,,,,,지나갈때마다 웨이팅이 많아서 포장을 해서 먹었는데 사람들에게 인기가 많은 이유를 알것 같았습니다. 너무 맛있었습니다. 주차장이 크게 있는건 아니라서 주차는 조금 불편합니다.,"[화요일~토요일]
- 11:30~20:30
- 준비시간 14:30~17:30
- 마지막 주문 14:00, 20:00
[일요일]
- 11:30~15:00
- 마지막 주문 14:30",매주 월요일,후꾸스페셜 스시,광어 / 참돔 / 붉은새우 등,https://www.instagram.com/huggu_sushi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퀸즈크라운베이커리카페,"퀸즈크라운베이커리카페는 대구시 서구 평리4동에 자리 잡고 있다. 다양한 베이커리와 음료를 제공하는 대형 카페이다. 마늘바게트는 소스 맛이 풍부하고, 몽블랑은 부드러운 식감으로 인기가 많다. 상하목장 아이스크림은 진한 맛으로 아이들과 방문하기에도 좋으며, 천혜향 에이드와 같은 음료도 함께 즐길 수 있다. 베이커리 종류 이외에 각종 음료도 판다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋다.",,대구광역시 서구 서대구로 118 (평리동),가능,,,,,,,,,"- 08:30~23:40
- 마지막 주문 23:20",연중무휴,팡도르,마늘바게트 / 모카로티 / 아메리카노 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햇님베이커리,대구 중구에 위치하고 있는 햇님베이커리는 30년이 넘은 개인 제과점이다. 늘 가족에게 먹인다는 정성 가득한 마음과 좋은 재료로 만들고 있다.,,"대구광역시 중구 달구벌대로389길 70 (대신동, 협화아파트)",,,,,,,,,,"월요일~토요일 06:30~22:00
일요일 08:00~21:00","매월 1, 3번째 일요일",아몬드쿠키,마늘빵 / 팥빙수 / 소시지빵 등,https://blog.naver.com/baby2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두류해물탕본점,"두류해물탕본점은 대구광역시 달서구 용산동에 있다. 해물탕과 해물찜을 전문으로 하는 식당으로, 아삭한 콩나물과 매콤한 양념이 특징이다. 해물찜은 신선한 해물과 곤이, 미더덕이 조화롭게 어우러져 별미로 꼽힌다. 성서IC와 대구 지하철 2호선 용산역에서 가깝다. 주변에는 83타워, 이월드 등이 있어 연계 관광하기 좋다.",,대구광역시 달서구 달구벌대로 1511 (용산동),가능,,,,,,,,,"- 10:00~22:00
- 마지막 주문 21:45",연중무휴,해물탕,해물찜 / 아구찜 / 왕새우찜 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도곡재,"도곡재는 대구광역시 유형문화유산으로 지정된 곳으로 달성군 하빈면에 위치하였다. 조선 정조 2년(1778)에 대사성인 서정공 박문현이 살림집으로 세운 건물이나, 정조 24년(1800) 경에 도곡 박종우의 공부방으로 사용되면서 그의 호를 따서 도곡재라는 이름을 붙였다. 앞면 4칸·옆면 1칸 규모이며, 후대에 퇴칸을 달고 대청을 넓혀 누(樓)처럼 꾸몄다. 도곡재는 태백산지역 살림집의 일반적인 구조를 가지고 있는 소박한 건물이다.",,대구광역시 달성군 하빈면 육신사길 62,"가능
요금 (무료)",,,,,,,,,,연중무휴,,,,상시 개방,대구광역시 유형문화유산 도곡재 (1995.05.12. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원조아삼겹 본점,"원조아삼겹 본점은 대구광역시 수성구 만촌동에 위치해 있는 돼지고기구이 전문점이다. 대표 메뉴는 두툼한 삼겹살에 칼집을 낸 아삼겹이다. 고기는 초벌되어 나오기 때문에 기름이 튀지 않아 편리하게 먹을 수 있으며, 육즙이 살아있어 맛있다. 특히 된장찌개는 매콤하면서 깔끔한 맛으로, 저렴한 가격에 1-3인이 먹을 정도의 양을 제공한다.",,대구광역시 수성구 만촌로 105 (만촌동),가능,,,,,,,,,"- 화요일~일요일 14:00~24:00
- 월요일 16:00~24:00",연중무휴,아삼겹,돌판볶음밥 / 원조라면 / 된장찌개 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금수강산해물탕,"금수강산해물탕은 신선한 해물과 얼큰한 국물이 일품인 해물탕과 해물찜을 제공하는 맛집이다. 깔끔한 외관과 편안한 분위기를 연출하는 인테리어가 눈에 띈다. 내부에는 단체석이 마련되어 있어 각종 모임을 하기 좋고, 프라이빗한 공간도 갖추어져 있다. 해물탕에는 가리비, 키조개, 낙지, 꽃게, 새우 등 다양한 해산물이 푸짐하게 들어가 있어 여러 맛을 즐길 수 있다. 대구 지하철 3호선 수성못역과 파동IC에서 가깝다. 인근에는 아르떼 수성랜드, 수성유원지가 있다.",,대구광역시 수성구 들안로 60 (두산동),가능,,,,,,,,,"- 11:00~22:00
- 준비시간 15:00~17:00
- 마지막 주문 21:00",연중무휴,해물탕,아낙찜 / 해물찜 / 한우육회 낙지탕탕이 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
