,place,info,문의 및 안내,홈페이지,주소,이용시간,이용요금,체험프로그램,review,휴일,주차,입장료,화장실,이용가능시설,주차요금,접근로,출입통로,보조견 동반,체험 프로그램,체험가능 연령,주차 요금,수용인원,할인 정보,시설이용료,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,부대시설,사우나실 여부,규모,캠프파이어 여부,바비큐장여부,장애인 주차 안내,엘리베이터,점자 블록,수유실,"영유아가족
기타상세",휠체어,매표소,영업시간,대표메뉴,취급메뉴,세미나실 여부,스포츠 시설 여부,자전거 대여 여부,객실,공용 PC실 여부,지체장애 기타 상세,청각 장애 기타상세,시각장애 기타상세,안내 요원,주요시설,보유장비,대중 교통,지정현황,이용 시기,코스안내,점자 홍보물,유아용보조의자,판매 품목,좌석수,입점브랜드,휘트니스 센터 여부,노래방 여부,유모차,청각장애용 객실,관람석,대여안내,뷰티시설여부,유도안내 설비
10,섬진강기차마을생태학습관,"섬진강 기차마을 내에 있는 섬진강기차마을생태학습관은 681㎡의 공간에 5종의 육상 곤충, 3종의 수상 곤충, 해충(害蟲) 및 익충(益蟲)의 먹이사슬을 통한 농작물과 곤충, 친환경 농업과 자연 생태계의 상호 관계를 잘 보여주는 천적 곤충실, 무당벌레 모형 등이 있는 체험실 등을 갖추고 있다. 이곳은 특히 천적 관계인 곤충을 소개하는 것에 집중하고 있는데 천적 곤충실에는 무당벌레-진딧물, 칠레이리응애-응애, 잎굴파리-잎굴파리고치벌 등 8종의 곤충들이 천적 관계로 각각 짝지어져 전시되어 있다.",,곡성문화관광 https://www.gokseong.go.kr/tour,전라남도 곡성군 오곡면 기차마을로 232,10:00~18:00,"[섬진강 기차마을 입장료]
- 대인 5,000원
- 소인 4,500원
※기차마을 입장료에 포함
※이용요금은 변동될 수 있으므로 전화 문의",곤충놀이터 / 샌드크래프트 / 곤충페스티벌 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,도솔암(해남),"도솔암은 달마산 12암자중 유일하게 복원된 암자로, 가장 정상부인 도솔봉에 위치해 있다. 석축을 쌓아 올려 평평하게 만든 곳에 자리 잡고 있어 마치 견고한 요새와도 같으며, 주변 풍광이 워낙 수려해 일출과 일몰, 서남해의 다도해를 감상할 수 있고, 마치 구름 속에 떠있는 듯한 느낌을 주어 달마산의 새로운 선경의 세계로 빠져들게 한다.
「신증동국여지승람」에 따르면 통일신라 말 당대의 고승 화엄조사인 의상대사가 창건한 천년의 기도 도량이라고 알려져 있다. 달마산 미황사를 창건한 의조화상께서도 미황사를 창건하기 전 도솔암에서 수행정진하셨던 곳으로 역사적으로 의미 있는 암자이다. 그 후에도 여러 스님들께서도 기도 정진하였던 도솔암은 정유재란당시 불에 타 흔적만 남이 있던 곳을 2002년 6월 8일 오대산 월정사에 계셨던 현 주지 법조스님이 32일 만에 단청까지 복원 중창했다고 전해온다.
암릉으로 둘러싸인 도솔암은 4월에는 진달래, 5월에는 철쭉, 6월에는 원추리, 가을에는 단풍, 겨울에는 설경이 멋있어 많은 관광객이나 사진작가들이 찾는 명소이다. 그리고 풍광이 뛰어나 각종 드라마 및 CF 촬영지로도 각광을 받고 있다.",,https://www.haenam.go.kr,전라남도 해남군 송지면 마봉송종길 355-300,상시 개방,,,"이쁘네요. 내년 여름 꼭 가야겠어요. 달마둘레길 도는 길에 만나는 도솔암 힘들게 올라간 만큼 보여지는 명품경치 좋아요 너무 아름답네요~! 암벽 속 작은 암자. 겨울이지만 볕을 받으며 따뜻하게 걸었습니다. 차로 이동하면서 주차가 걱정되었는데 한 여름이어서 인지 양호, 800m 걸어서 높은 산자락에서 저 멀리 남해 섬들을 바라보는 자연을 만끽하면서 작은, 그러나 운치 백단의 도솔암, 영원히 지난 전난때 왜구들이 불 태웠다는데 화가난다. 이순신 장군과 같은 인물들이 많이 나왔으면 하는 바램과 함께 가는 길이 평탄하지 않고 바람이 많이 불어 멀게 느껴지지만 가는 길 내내 풍경이 멋집니다! 나무들이 많이 없어 멀리 잘 보입니다. 화장실은 도솔암 가기 전에 들르시길 추천드립니다. 3월 3일 여행으로 도솔암을 찾았다. 보수공사도 끝났다해서. .하지만 도솔암 정상주차장에 대형버스 두대로 인해 사고 날뻔했고 위험하게 후진으로 내려가서 버스가. 지나갈 수 있도록 비켜줘야했다. 대형 차량 및 버스 진입금지라고 쓰여있어도 아나무인으로 올라오신 분들...뻔뻔하기까지 하고.. 그래서 아래 주차장에서 대형 버스및 차량을 차단할 수 있는 시설을 갖추었음합니다 달마산 꼭대기가까운곳 까지 차를 이용한 덕분에 0.8km걸어서 도솔암으로 갔죠 가는길동안 작은 오르막길이라도 숨이차 쉴려면 보여지는 멋짐에 행복해하고. 느린산행으로 보통걸리는 시간보다 두배 걸려 다녀왔지만 스스로에게 참 잘했어요 하게 되더군요 미황사 템플 와서 도솔암 달마고도를 걸어 보았어요 바다와 하늘이 멋져요 추천 여행지 꼭방문해보시길",연중무휴,가능,무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,구례목재문화체험장,"우리 생활 속 목재의 쓰임새, 목재의 생산과정, 목재의 종류 등을 한눈에 알아볼 수 있는 목재체험관이다. 다양한 전시물과 함께 목재를 활용한 생활 공예품, 놀이기구, 학습도구 등 목재품을 직접 만지고, 느끼고, 만들어 볼 수 있는 체험이 있고 전문적, 체계적, 정기적인 목공 교육을 할 수 있는 공간의 장도 마련되어 있다.",,https://blog.naver.com/guryewood,전라남도 구례군 간전면 효곡리 366-1,09:30 ~17:00,,,관심있는 분야(목공)에 도움이 되는 유익한 체험같습니다.,1월 1일 / 설·추석 연휴 / 매주 월요일,가능,,,"1층 (관리실, 목공예공방, 목공예체험장, 작은도서관)
2층 (전시관, 전시실, 정보교육실, 공방작업실)",,,,,"- 유아 (만5~6세) : 자동차, 손거울, 한글문패, 열쇠고리, 공룡 등
- 초·중·고등학생 : 우드필통, 연필꽂이, 서랍 모니터받침대, 책꽂이, 서랍장, 독서대, 2단 수납선반 등
- 성인·가족 : 손잡이 도마, 수납형 스툴, 테이블, 다도상, 협탁, 3단 책장, 등",,,,,"무료
※ 체험비(재료비) : 프로그램에 따라 상이",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,문수사 (구례),"좌청룡 우백호의 기운이 뚜렷한 구례군 지리산 문수사는 백제성왕 25년 (547년) 연기조사께서 창건하였다. 그 뒤 저잣거리에서 불법을 선양한 원효대사, 해동 화엄의 종조가 된 의상법사를 비롯하여 윤필, 서산, 소요, 부유, 사명대사 등 여러 고승 대덕께서 수행정진한 제일의 문수도량이다.

고승 청허당 스님의 젊은 시절 수행처이기도 했는데 이때의 한 고사가 전해져 내려온다. 불법을 깨우치기 위해 용맹정진하던 중 걸승이 찾아와 함께 수행하기를 청했다. 처음에는 식량이 모자라 거절하기도 했지만 노승의 청이 너무 간절해 같이 수행하게 되었다. 밤잠을 자지 않고 수행에 전념하던 어느 날 수행하던 노승이 새벽녘에 주장자를 앞산으로 날려 황룡으로 만들더니 그 룡을 타고 안갯속으로 사라지는 것이다.

이후 문수사는 깨달음을 얻어 성불하는 수행처로 널리 알려지게 되었다. 임진왜란 때 왜병의 난입으로 일부가 파괴된 뒤 불당을 조성하지 못한 채 6.25를 맞아 전소되었고, 그 후 1984년 요사채를 세우고 1988년 옛 대웅전 터에 지금의 고금당선원을 건립하고 진입도로를 완성하여 사찰의 면모를 갖추게 되었으며 문수전, 삼성각, 고봉선원, 방장굴, 설선당 등을 건립, 석축을 쌓고 3층 법당 대웅전(목탑)을 건립하여 오늘에 이르게 되었다.

(출처: 남도여행길잡이 홈페이지)",,,전라남도 구례군 토지면 문수사길 138,상시 개방,,,,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,수한마을,"수한마을은 전남 구례군 광의면에 속한 마을로 시골마을의 풍경을 간직한 곳이다. 수한이라는 지명은 물이 차갑다는 뜻의 ‘물한이’에서 유래되었다. 마을 명칭과 어울리게 벽에는 물놀이 벽화가 그려져 있다. 마을에는 520년 수령의 느티나무가 있는데 이곳에서 매년 당산제를 지내 마을의 평안을 빌고 있다. 520년 된 나무의 잎이 일시에 피면 풍년이 들고, 2~3회 나누어 피면 흉년이 든다는 전설이 내려온다. 봄이면 산수유가 장관이고 마을 돌담길과 늙은 감나무들이 예스러운 분위기를 연출한다.",,,전라남도 구례군 광의면 수한2길 27,상시 개방,,,,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,스테이 구도[한국관광 품질인증/Korea Quality],"구도는 목포 죽동 끝자락에 자리한 한옥스테이로, 함께한 이들과 온전한 시간을 보내며 편안한 휴식을 할 수 있는 공간이다. 침실, 거실, 부엌, 테라스, 욕실, 족욕탕과 마당으로 구성되어 있고, 집이 앞마당과 뒷마당을 잇는 통로 역할을 하며 자연을 충만하게 담고 있다. 기와는 이웃집만큼 올라와 있고, 담장은 동네를 닮은 색을 띠고 있어, 낯설지만 낯익은 공간으로 다가온다.",,http://www.goodostay.com,전라남도 목포시 마인계터로11번길 4,,,,,,가능,,,,,,,,,,,4,,,15:00,11:00,가능,있음,1,가능(010-8604-7327),http://www.goodostay.com/booking,양실,"세탁실, 산책로",있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,스테이 초점[한국관광 품질인증/Korea Quality],"스테이 초점은 전라남도 나주의 한 작은 마을 가장 안쪽에 자리한 한옥스테이다. 오래된 구옥을 개조해 넓은 마당, 누마루, 노천탕, 야외화로, 거실, 주방, 침실 공간을 제공한다. 누마루에서는 차를 우리며 사색의 시간을, 노천탕에서는 따뜻한 물 속에서 시원한 바람과 은은한 달빛을 느끼며 여유를 즐길 수 있다. 마당 한 켠에 마련된 야외화로는 감성의 시간을 선물한다.",,http://staychojjeom.com,전라남도 나주시 당가길 33-6,,,,스테이 초점은 자연과 조화로운 공간 속에서 독특한 체험을 선사하는 곳이지 않을까 싶네요 ^^ 앞으로 여행자에게 온전한 휴식과 아름다운 추억을 선물해줄 것 같아요 ㅎㅎ 마치 소중한 한 장면을 그린 듯한 공간에서 특별한 시간을 보낼 수 있는 날이 너무 기대됩니다!!,,가능,,,,,,,,,,,4,,,16:00,12:00,불가(데우는 것만 가능),있음,1,가능(네이버 예약),https://m.place.naver.com/accommodation/1026084742,양실,야외 대형 욕조,,792㎡,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,사평천,"전라남도 화순군 한천면 고시리에서 발원하여 사평면을 거쳐 동복천으로 유입하는 하천을 사평천이라고 부른다. 물줄기 대부분이 산지를 따라 흐르기 때문에 맑고 깨끗하다. 특히 봉정산 아래 국도변을 지나는 사평폭포는 여름이면 무더위를 피하기 위해 찾아든 피서객들로 북적인다. 사평폭포로 향하는 사평천을 따라 벚나무가 줄지어 서 있다. 해마다 봄이면 팝콘 터지듯 피어오르는 벚꽃들이 로맨틱한 터널을 이룬다. 봄바람을 따라 천천히 걷기에도, 창문을 열고 드라이브를 즐기기에도 더없이 좋은 시골길이다.",,,전라남도 화순군 사평면 사평리 104-13,상시 개방,,,,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,여느[한국관광 품질인증/Korea Quality],"전라남도 구례에 자리한 ‘여느’는 독립운동가 왕재일 선생님의 생가를 살려 만든 펜션이다. 시골집의 정겨운 분위기에 민트색 지붕이 동화같은 특별함을 선사한다. 독채펜션으로 운영하고, 별채에는 반신욕이 가능한 대형욕조와 썬룸, 그리고 썬룸과 연결된 데크가 있다. 집안 곳곳엔 미국과 유럽, 국내를 여행하며 모아온 빈티지 물건들이 손님을 반겨준다.",,https://www.instagram.com/mooooru_yeonne,전라남도 구례군 천변길 116-68,,,,,,가능,,,,,,,,,,,3,,,15:00,11:00,가능,없음,1,가능(010-7353-1802),https://www.instagram.com/mooooru_yeonne,한실/양실,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,류황가원림[한국관광 품질인증/Korea Quality],"류황가원림은 전남 순천 낙안에 위치한 한옥 펜션으로, 금전산 자락과 산 아래 낙안 읍성 마을과 제법 잘 어울린다. 편백나무 숲 한편에 있어 편백의 피톤치드를 마시며 힐링할 수 있다. 객실은 사랑채로, 방 2 개에 침대 2개, 화장실도 2개로 구성되어 있다. 누마루에서 맑은 공기와 바람, 자연의 풍경과 함께 마시는 차 한잔이 일품이다. 1일 1팀만 받고, 청결한 침구를 제공한다.",,https://blog.naver.com/nakanleejk48,전라남도 순천시 조정래길 806-70,,,,,,가능,,,,,,,,,,,5,,,15:00,11:00,가능,없음,1,"가능(네이버 예약, 에어비앤비)",https://naver.me/51YFxHkm,양실,"세탁실, 산책로",,990㎡,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
